Rk,Player,Position,Team,Salary,Salary,Salary,Salary,Salary,Salary,Signed Using,Option,Option Year,Guaranteed,Photo
135,Jerryd Bayless,SG,PHI,9000000,8575916,,,,,Cap Space,,,17575916,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3417.png&w=350&h=254
136,Avery Bradley,SG,LAC,8808989,,,,,,Bird Rights,,,8808989,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4240.png
137,JaMychal Green,PF,MEM,8533333,7866667,,,,,Bird Rights,,,16400000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2327577.png&w=350&h=254
138,E'Twaun Moore,SG,NOP,8445024,8808685,8664928,,,,Cap Space,,,25918637,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6460.png
139,Rudy Gay,SF,SAS,8406000,8826300,,,,,MLE,Player,2018,8406000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3005.png&w=350&h=254
140,Kosta Koufos,C,SAC,8393000,8739500,,,,,Cap Space,Player,2018,8393000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3444.png&w=350&h=254
141,Markieff Morris,PF,WAS,8000000,8600000,,,,,Bird Rights,,,16600000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6461.png&w=350&h=254
142,Vince Carter,SG,SAC,8000000,,,,,,Cap space,,,8000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/136.png&w=350&h=254
143,Garrett Temple,SG,SAC,8000000,8000000,,,,,Cap Space,Player,2018,8000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4023.png&w=350&h=254
144,C.J. Miles,SF,TOR,7936509,8333333,8730158,,,,MLE,Player,2018,16269842,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2778.png&w=350&h=254
145,Cristiano Felicio,C,CHI,7843500,8470980,8156500,7529020,,,Cap space,,,32000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3113587.png&w=350&h=254
146,Shaun Livingston,PG,GSW,7692308,8307692,7692308,,,,Bird Rights,,,18000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2393.png&w=350&h=254
147,Cory Joseph,PG,IND,7630000,7945000,,,,,Cap Space,Player,2018,7630000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6446.png&w=350&h=254
148,P.J. Tucker,SF,HOU,7590035,7969537,8349039,7969537,,,MLE,,,26477799,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3033.png&w=350&h=254
149,Corey Brewer,SG,LAL,7579366,,,,,,Cap Space,,,7579366,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3191.png&w=350&h=254
150,Andrew Wiggins,SF,MIN,7574322,25250000,27270000,29290000,31310000,,1st Round Pick,,,154024322,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3059319.png&w=350&h=254
